prognosis,videos
Fungal infection,
Allergy,
GERD,https://www.youtube.com/embed/yQoDq9HR-90?si=-KMRmlrxTgY5OmoP
Chronic cholestasis,
Drug Reaction,
Peptic ulcer diseae,
AIDS,
Diabetes,
Gastroenteritis,
Bronchial Asthma,https://www.youtube.com/embed/qoBW-9Jofzk?si=ubz-KQsXO6JMR48x
Hypertension,
Migraine,https://www.youtube.com/embed/pkyF0Wxkpr4?si=cg4yr-aV1BbFy_sF
Cervical spondylosis,
Paralysis (brain hemorrhage),https://www.youtube.com/embed/yQoDq9HR-90?si=-KMRmlrxTgY5OmoP
Jaundice,
Malaria,https://www.youtube.com/embed/aK4koJRpBs4?si=EScJsDqj7wVOqQfF
Chicken pox,https://www.youtube.com/embed/OgdHSSU2TNs?si=PjsmOOXK5yJcC7kz
Dengue,https://www.youtube.com/embed/FSIG4Yy1qNE?si=g0GM1E36DiLDMDCQ
Typhoid,https://www.youtube.com/embed/43H3NDmKty0?si=YYfP1HhXzgeBGILz
hepatitis A,
Hepatitis B,
Hepatitis C,
Hepatitis D,
Hepatitis E,
Alcoholic hepatitis,
Tuberculosis,https://www.youtube.com/embed/U-hop77U4cE?si=GA5EX2_AannFgQSR
Common Cold,https://www.youtube.com/embed/D_e_FrUfspI?si=fZqvHhv2tBPRNv5O
Pneumonia,https://www.youtube.com/embed/_M7DKxKY31A?si=2SNQdDACgGxIpbfU
Dimorphic hemmorhoids(piles),
Heart attack,
Varicose veins,
Hypothyroidism,
Hyperthyroidism,
Hypoglycemia,https://www.youtube.com/embed/HEfPV_bs5Fs?si=XUhBe59YQgx4AWH1
Osteoarthristis,
Arthritis,
(vertigo) Paroymsal  Positional Vertigo,
Acne,
Urinary tract infection,
Psoriasis,
Impetigo,
